"Severidad","Estado","Tipo","ID de la regla","WCAG","Selector","Descripción","Sugerencia de solución","Evidencia","Fuente"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Green Duck""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Police dog""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Rock star teddy""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(3) > a[title=""Red Duck""][data-id=""3""][data-sku=""RD003""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(3) > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .image-wrapper > .sticker.sale[title=""On Sale""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el contraste porque el elemento contiene un nodo de imagen. Contraste esperado: 4.5:1; tamaño: 9.0pt (12px); peso: bold.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(3) > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(4) > a[title=""Executive dog""][data-id=""11""][data-name=""Executive dog""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(5) > a[title=""Purple Duck""][data-id=""5""][data-sku=""RD005""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(6) > a[title=""Executive dog""][data-id=""11""][data-name=""Executive dog""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(6) > a[title=""Red Duck""][data-id=""3""][data-sku=""RD003""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","article:nth-child(7) > a[title=""Purple Duck""][data-id=""5""][data-sku=""RD005""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","input[type=""search""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque el elemento está parcialmente oculto por otro elemento. Contraste esperado: 4.5:1; tamaño: 11.3pt (15px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Violación automatizada","link-name","2.4.4 / 4.1.2 (A)",".list-inline > li > a","El enlace está en el orden de tabulación, pero no tiene texto ni nombre accesible discernible para tecnologías de asistencia.","Proporcionar texto visible, aria-label/aria-labelledby válido o una imagen con alt no vacío que describa el destino del enlace.","Fix all of the following: Element is in tab order and does not have accessible text Fix any of the following: Element does not have text that is visible to screen readers aria-label attribute does not exist or is empty aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty Element has no title attribute","axe-core 4.10.3"
"serio","Fallido","Violación automatizada","link-name","2.4.4 / 4.1.2 (A)",".navbar-nav:nth-child(1) > .nav-item:nth-child(1) > .nav-link","El enlace está en el orden de tabulación, pero no tiene texto ni nombre accesible discernible para tecnologías de asistencia.","Añadir aria-label=""Inicio"" al enlace o mantener texto visible para lectores de pantalla; no depender solo del icono.","Fix all of the following: Element is in tab order and does not have accessible text Fix any of the following: Element does not have text that is visible to screen readers aria-label attribute does not exist or is empty aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty Element has no title attribute","axe-core 4.10.3"
"serio","Fallido","Violación automatizada","link-name","2.4.4 / 4.1.2 (A)","#scroll-up","El enlace está en el orden de tabulación, pero no tiene texto ni nombre accesible discernible para tecnologías de asistencia.","Añadir un nombre como aria-label=""Volver arriba"" y conservar un indicador de foco visible.","Fix all of the following: Element is in tab order and does not have accessible text Fix any of the following: Element does not have text that is visible to screen readers aria-label attribute does not exist or is empty aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty Element has no title attribute","axe-core 4.10.3"
"serio","Fallido","Comprobación manual","manual-focus-visible","2.4.7 (AA)",".account.dropdown.nav-item > .nav-link[data-toggle=""dropdown""]","El elemento recibe foco por teclado, pero no muestra un cambio visual detectable en outline, box-shadow, borde, fondo, color ni decoración.","Definir un estilo :focus-visible claramente perceptible, por ejemplo outline sólido de al menos 2 px y color con contraste suficiente. No eliminar el foco del navegador sin reemplazarlo.","Durante Tab/Shift+Tab: :focus-visible=true; outline=none; box-shadow=none y propiedades visuales enfocadas idénticas al estado normal.","Playwright MCP — prueba manual de teclado y estilos computados"
"serio","Fallido","Comprobación manual","manual-focus-visible","2.4.7 (AA)","input[type=""email""]","El elemento recibe foco por teclado, pero no muestra un cambio visual detectable en outline, box-shadow, borde, fondo, color ni decoración.","Definir un estilo :focus-visible claramente perceptible, por ejemplo outline sólido de al menos 2 px y color con contraste suficiente. No eliminar el foco del navegador sin reemplazarlo.","Durante Tab/Shift+Tab: :focus-visible=true; outline=none; box-shadow=none y propiedades visuales enfocadas idénticas al estado normal.","Playwright MCP — prueba manual de teclado y estilos computados"
"serio","Fallido","Comprobación manual","manual-focus-visible","2.4.7 (AA)","input[type=""password""]","El elemento recibe foco por teclado, pero no muestra un cambio visual detectable en outline, box-shadow, borde, fondo, color ni decoración.","Definir un estilo :focus-visible claramente perceptible, por ejemplo outline sólido de al menos 2 px y color con contraste suficiente. No eliminar el foco del navegador sin reemplazarlo.","Durante Tab/Shift+Tab: :focus-visible=true; outline=none; box-shadow=none y propiedades visuales enfocadas idénticas al estado normal.","Playwright MCP — prueba manual de teclado y estilos computados"
"serio","Fallido","Comprobación manual","manual-focus-visible","2.4.7 (AA)","input[type=""search""]","El elemento recibe foco por teclado, pero no muestra un cambio visual detectable en outline, box-shadow, borde, fondo, color ni decoración.","Definir un estilo :focus-visible claramente perceptible, por ejemplo outline sólido de al menos 2 px y color con contraste suficiente. No eliminar el foco del navegador sin reemplazarlo.","Durante Tab/Shift+Tab: :focus-visible=true; outline=none; box-shadow=none y propiedades visuales enfocadas idénticas al estado normal.","Playwright MCP — prueba manual de teclado y estilos computados"
"serio","Fallido","Comprobación manual","manual-focus-visible","2.4.7 (AA)","main input[name=""email""]","El elemento recibe foco por teclado, pero no muestra un cambio visual detectable en outline, box-shadow, borde, fondo, color ni decoración.","Definir un estilo :focus-visible claramente perceptible, por ejemplo outline sólido de al menos 2 px y color con contraste suficiente. No eliminar el foco del navegador sin reemplazarlo.","Durante Tab/Shift+Tab: :focus-visible=true; outline=none; box-shadow=none y propiedades visuales enfocadas idénticas al estado normal.","Playwright MCP — prueba manual de teclado y estilos computados"
"moderado","Fallido","Comprobación manual","manual-heading-h1","1.3.1 (A)","body","La página no contiene ningún encabezado h1 visible; la jerarquía comienza en h2.","Añadir un h1 único y descriptivo para el propósito principal de la página, manteniendo la jerarquía visual y semántica.","24 encabezados visibles: h1=0, h2=4, h3=5, h4=15.","Playwright MCP — inspección DOM"
"moderado","Fallido","Comprobación manual","manual-heading-order","1.3.1 (A)","article.product h4.name","Los nombres de productos usan h4 inmediatamente después de encabezados de sección h2, omitiendo el nivel h3.","Cambiar los nombres de producto a h3 o introducir agrupaciones h3 reales antes de los h4. Elegir niveles por estructura, no por apariencia.","Se observaron saltos h2→h4 en Campaign Products, Popular Products y Latest Products; 15 h4 afectados.","Playwright MCP — inspección DOM"
"moderado","Fallido","Comprobación manual","manual-persistent-label","3.3.2 (A)","input[type=""email""]","El campo depende únicamente del placeholder “Email Address” y carece de una etiqueta visible y persistente. axe lo considera nombrado, pero el contexto desaparece al escribir.","Asociar un <label for=""…""> visible y persistente con un id único en el control. Mantener el placeholder solo como ejemplo o pista complementaria; usar aria-label únicamente cuando una etiqueta visual no sea viable.","Sin <label>, aria-label, aria-labelledby ni title; placeholder presente. La regla axe label pasó por el placeholder.","Playwright MCP — inspección DOM + axe label"
"moderado","Fallido","Comprobación manual","manual-persistent-label","3.3.2 (A)","input[type=""password""]","El campo depende únicamente del placeholder “Password” y carece de una etiqueta visible y persistente. axe lo considera nombrado, pero el contexto desaparece al escribir.","Asociar un <label for=""…""> visible y persistente con un id único en el control. Mantener el placeholder solo como ejemplo o pista complementaria; usar aria-label únicamente cuando una etiqueta visual no sea viable.","Sin <label>, aria-label, aria-labelledby ni title; placeholder presente. La regla axe label pasó por el placeholder.","Playwright MCP — inspección DOM + axe label"
"moderado","Fallido","Comprobación manual","manual-persistent-label","3.3.2 (A)","input[type=""search""]","El campo depende únicamente del placeholder “Search products …” y carece de una etiqueta visible y persistente. axe lo considera nombrado, pero el contexto desaparece al escribir.","Asociar un <label for=""…""> visible y persistente con un id único en el control. Mantener el placeholder solo como ejemplo o pista complementaria; usar aria-label únicamente cuando una etiqueta visual no sea viable.","Sin <label>, aria-label, aria-labelledby ni title; placeholder presente. La regla axe label pasó por el placeholder.","Playwright MCP — inspección DOM + axe label"
"moderado","Fallido","Comprobación manual","manual-persistent-label","3.3.2 (A)","main input[name=""email""]","El campo depende únicamente del placeholder “your@email.com” y carece de una etiqueta visible y persistente. axe lo considera nombrado, pero el contexto desaparece al escribir.","Asociar un <label for=""…""> visible y persistente con un id único en el control. Mantener el placeholder solo como ejemplo o pista complementaria; usar aria-label únicamente cuando una etiqueta visual no sea viable.","Sin <label>, aria-label, aria-labelledby ni title; placeholder presente. La regla axe label pasó por el placeholder.","Playwright MCP — inspección DOM + axe label"
